time_s,baseline_g,auto_g,saved_g,saved_pct,alpha
0.0,4935.69,3355.57,1580.12,32.01,0.6
3600.0,2973.04,402.04,2571.0,86.48,0.6
7200.0,2202.87,483.6,1719.27,78.05,0.4
10800.0,2071.86,835.55,1236.3,59.67,0.4
14400.0,2583.46,1361.02,1222.44,47.32,0.5
18000.0,1776.69,816.68,960.0,54.03,0.6
21600.0,1746.68,243.11,1503.57,86.08,0.5
25200.0,1748.54,1208.49,540.06,30.89,0.7
28800.0,4461.15,1864.8,2596.36,58.2,0.5
32400.0,8621.11,2711.61,5909.5,68.55,0.4
36000.0,2279.11,1697.4,581.71,25.52,0.1
39600.0,1732.73,1572.21,160.51,9.26,0.4
43200.0,1853.34,1403.35,449.99,24.28,0.6
46800.0,2388.49,1282.1,1106.39,46.32,0.6
50400.0,5119.99,4013.52,1106.47,21.61,0.6
54000.0,2196.35,986.27,1210.08,55.1,0.1
57600.0,5065.69,3119.66,1946.02,38.42,0.6
61200.0,4165.68,1800.55,2365.13,56.78,0.7
64800.0,3547.26,2217.1,1330.16,37.5,0.3
68400.0,1577.29,334.57,1242.72,78.79,0.6
72000.0,8965.4,3880.99,5084.42,56.71,0.5
75600.0,2828.23,1249.76,1578.47,55.81,0.7
79200.0,913.03,807.22,105.81,11.59,0.4
82800.0,3816.28,1877.39,1938.9,50.81,0.3
86400.0,1671.05,455.52,1215.52,72.74,0.4
90000.0,4265.51,1236.37,3029.14,71.01,0.5
93600.0,1409.7,1433.74,-24.04,-1.71,0.4
97200.0,4777.86,2464.86,2313.0,48.41,0.7
100800.0,4029.64,3159.3,870.35,21.6,0.7
104400.0,4123.63,1099.73,3023.9,73.33,0.5
108000.0,4084.56,2087.89,1996.67,48.88,0.7
111600.0,1710.68,1710.41,0.27,0.02,0.1
115200.0,2493.73,1706.63,787.1,31.56,0.4
118800.0,4471.19,2912.88,1558.31,34.85,0.4
122400.0,920.08,577.26,342.83,37.26,0.4
126000.0,1975.16,1051.52,923.65,46.76,0.5
129600.0,3128.94,836.9,2292.04,73.25,0.4
133200.0,1419.63,822.42,597.21,42.07,0.6
136800.0,2456.53,1271.17,1185.35,48.25,0.4
140400.0,3193.63,2179.14,1014.49,31.77,0.6
144000.0,6089.61,1205.46,4884.15,80.2,0.4
147600.0,7869.89,4682.09,3187.81,40.51,0.5
151200.0,4049.02,824.88,3224.13,79.63,0.5
154800.0,2944.19,1605.93,1338.26,45.45,0.4
158400.0,3869.67,1185.18,2684.49,69.37,0.5
162000.0,276.35,181.63,94.72,34.28,0.4
165600.0,7805.78,1586.19,6219.6,79.68,0.4
169200.0,3623.49,1428.5,2194.99,60.58,0.6
172800.0,3263.49,585.42,2678.07,82.06,0.5
176400.0,1517.39,183.98,1333.42,87.88,0.6
180000.0,5582.18,2455.15,3127.03,56.02,0.4
183600.0,5144.34,3101.06,2043.28,39.72,0.5
187200.0,2886.0,1643.07,1242.93,43.07,0.8
190800.0,4718.58,3905.66,812.92,17.23,0.7
194400.0,3785.79,2726.94,1058.85,27.97,0.4
198000.0,4167.16,2599.69,1567.46,37.61,0.1
201600.0,3958.12,1473.64,2484.48,62.77,0.5
205200.0,208.94,102.59,106.34,50.9,0.1
208800.0,2484.03,1018.15,1465.88,59.01,0.6
212400.0,2558.77,624.13,1934.64,75.61,0.1
216000.0,2607.35,1534.85,1072.5,41.13,0.6
219600.0,4335.43,3054.25,1281.18,29.55,0.4
223200.0,733.76,312.8,420.96,57.37,0.6
226800.0,6156.94,1960.45,4196.5,68.16,0.7
230400.0,4930.31,753.54,4176.76,84.72,0.7
234000.0,3758.02,2402.16,1355.86,36.08,0.6
237600.0,6392.51,1873.96,4518.55,70.69,0.8
241200.0,6474.23,3285.95,3188.27,49.25,0.6
244800.0,2652.32,662.14,1990.18,75.04,0.4
248400.0,4360.56,291.88,4068.68,93.31,0.4
252000.0,3847.75,1246.73,2601.02,67.6,0.3
255600.0,2997.44,300.46,2696.97,89.98,0.4
259200.0,3350.64,1906.94,1443.7,43.09,0.5
262800.0,7055.67,2109.91,4945.76,70.1,0.5
266400.0,1566.07,984.1,581.96,37.16,0.9
270000.0,2286.3,1767.15,519.14,22.71,0.4
273600.0,3275.29,1088.56,2186.73,66.76,0.5
277200.0,2653.49,1113.98,1539.51,58.02,0.4
280800.0,1684.23,206.63,1477.6,87.73,0.5
284400.0,1012.05,531.89,480.16,47.44,0.5
288000.0,1891.08,1255.21,635.87,33.62,0.5
291600.0,2475.39,1845.3,630.1,25.45,0.7
295200.0,2615.76,1037.07,1578.68,60.35,0.5
298800.0,3233.4,986.48,2246.92,69.49,0.6
302400.0,2216.0,2178.99,37.01,1.67,0.1
306000.0,2482.62,1048.41,1434.2,57.77,0.6
309600.0,3419.24,463.16,2956.08,86.45,0.7
313200.0,2741.71,872.52,1869.19,68.18,0.6
316800.0,2709.45,1368.15,1341.29,49.5,0.5
320400.0,3834.0,1882.02,1951.98,50.91,0.8
324000.0,6713.3,2186.05,4527.24,67.44,0.4
327600.0,4133.8,1584.45,2549.35,61.67,0.6
331200.0,7560.91,1589.11,5971.8,78.98,0.4
334800.0,9475.48,5096.0,4379.48,46.22,0.4
338400.0,4241.89,2265.53,1976.36,46.59,0.4
342000.0,1346.84,714.77,632.07,46.93,0.6
345600.0,1277.12,534.17,742.95,58.17,0.6
349200.0,1719.05,463.32,1255.73,73.05,0.4
352800.0,5600.59,4306.9,1293.68,23.1,0.4
356400.0,2632.15,913.04,1719.11,65.31,0.5
360000.0,2140.44,1368.29,772.15,36.07,0.4
363600.0,2948.6,1663.82,1284.77,43.57,0.5
367200.0,1642.83,1207.25,435.58,26.51,0.4
370800.0,6351.03,3161.47,3189.56,50.22,0.6
374400.0,4850.64,3071.31,1779.33,36.68,0.6
378000.0,2890.07,1005.79,1884.28,65.2,0.4
381600.0,3466.44,2645.37,821.07,23.69,0.5
385200.0,1467.19,739.45,727.74,49.6,0.8
388800.0,6007.27,3692.8,2314.47,38.53,0.7
392400.0,682.61,324.77,357.84,52.42,0.6
396000.0,6607.41,3314.55,3292.86,49.84,0.4
399600.0,7619.64,2179.1,5440.54,71.4,0.6
403200.0,4197.23,2103.21,2094.02,49.89,0.1
406800.0,2312.78,989.73,1323.05,57.21,0.4
410400.0,7568.44,2521.87,5046.56,66.68,0.7
414000.0,2141.01,1526.93,614.07,28.68,0.8
417600.0,4356.93,2085.51,2271.43,52.13,0.1
421200.0,3554.3,481.93,3072.37,86.44,0.4
424800.0,3329.8,752.98,2576.82,77.39,0.6
428400.0,1871.35,1106.5,764.85,40.87,0.8
432000.0,3811.39,2353.72,1457.67,38.25,0.2
435600.0,1810.93,1282.87,528.06,29.16,0.5
439200.0,748.34,88.72,659.62,88.14,0.5
442800.0,4301.97,2793.54,1508.44,35.06,0.4
446400.0,649.77,549.51,100.26,15.43,0.2
450000.0,2786.43,522.52,2263.91,81.25,0.5
453600.0,3207.66,1772.07,1435.59,44.76,0.4
457200.0,6859.74,1195.92,5663.82,82.57,0.6
460800.0,5450.6,3212.59,2238.01,41.06,0.5
464400.0,5208.76,4250.22,958.54,18.4,0.5
468000.0,2909.45,1944.9,964.55,33.15,0.5
471600.0,5094.49,3610.67,1483.82,29.13,0.6
475200.0,2908.96,1259.98,1648.98,56.69,0.7
478800.0,2396.23,1143.31,1252.91,52.29,0.6
482400.0,3259.87,1627.57,1632.31,50.07,0.6
486000.0,4408.56,2240.66,2167.9,49.17,0.5
489600.0,1375.06,533.85,841.22,61.18,0.5
493200.0,4631.05,2757.65,1873.4,40.45,0.4
496800.0,2467.69,867.15,1600.54,64.86,0.4
500400.0,4638.19,560.3,4077.9,87.92,0.4
504000.0,2422.05,869.15,1552.9,64.12,0.4
507600.0,4485.51,321.82,4163.7,92.83,0.4
511200.0,1404.63,503.24,901.39,64.17,0.7
514800.0,4742.98,2661.46,2081.52,43.89,0.6
518400.0,1313.39,474.38,839.01,63.88,0.5
522000.0,4708.42,2142.79,2565.64,54.49,0.4
525600.0,5107.32,2666.77,2440.55,47.79,0.5
529200.0,3881.64,2048.52,1833.12,47.23,0.4
532800.0,4552.95,3133.24,1419.7,31.18,0.4
536400.0,3652.76,1574.35,2078.42,56.9,0.7
540000.0,2497.37,1221.83,1275.54,51.08,0.5
543600.0,7763.01,5134.32,2628.69,33.86,0.6
547200.0,3256.93,1940.52,1316.4,40.42,0.4
550800.0,5790.26,3460.31,2329.95,40.24,0.8
554400.0,1747.9,409.82,1338.08,76.55,0.5
558000.0,965.47,345.0,620.46,64.27,0.5
561600.0,829.77,248.44,581.33,70.06,0.5
565200.0,8757.76,3848.89,4908.87,56.05,0.7
568800.0,1272.55,592.1,680.45,53.47,0.6
572400.0,2942.7,1878.4,1064.31,36.17,0.6
576000.0,5788.23,683.54,5104.69,88.19,0.8
579600.0,6072.95,1356.49,4716.46,77.66,0.5
583200.0,5867.55,3168.81,2698.74,45.99,0.5
586800.0,2430.2,490.34,1939.86,79.82,0.8
590400.0,7006.41,911.08,6095.34,87.0,0.6
594000.0,2032.58,1761.43,271.15,13.34,0.6
597600.0,502.02,32.09,469.93,93.61,0.6
601200.0,6022.25,1951.83,4070.42,67.59,0.6
604800.0,5301.27,1514.21,3787.07,71.44,0.6
608400.0,753.78,364.78,388.99,51.61,0.5
612000.0,2938.55,1456.68,1481.87,50.43,0.7
615600.0,3350.96,2103.45,1247.51,37.23,0.6
619200.0,3813.74,2965.95,847.79,22.23,0.7
622800.0,894.1,103.61,790.49,88.41,0.5
626400.0,2448.11,809.7,1638.41,66.93,0.5
630000.0,5219.63,1972.04,3247.59,62.22,0.4
633600.0,1826.1,1278.72,547.39,29.98,0.4
637200.0,7501.26,3415.09,4086.17,54.47,0.6
640800.0,4657.56,1996.85,2660.71,57.13,0.4
644400.0,103.9,83.4,20.5,19.73,0.4
648000.0,3795.24,2448.72,1346.52,35.48,0.4
651600.0,8215.38,4414.54,3800.84,46.26,0.6
655200.0,422.63,230.1,192.53,45.56,0.4
658800.0,2184.43,1296.21,888.21,40.66,0.1
662400.0,2019.13,824.1,1195.03,59.19,0.5
666000.0,7413.53,2734.74,4678.79,63.11,0.6
669600.0,2576.71,738.4,1838.31,71.34,0.6
673200.0,388.63,113.8,274.82,70.72,0.6
676800.0,4898.18,1510.82,3387.36,69.16,0.4
680400.0,6947.25,311.54,6635.71,95.52,0.4
684000.0,3120.71,665.65,2455.06,78.67,0.1
687600.0,1315.65,716.27,599.38,45.56,0.6
691200.0,205.32,76.23,129.09,62.87,0.3
694800.0,2331.05,1745.37,585.69,25.13,0.6
698400.0,4648.43,2256.95,2391.48,51.45,0.3
702000.0,5586.58,4136.63,1449.95,25.95,0.6
705600.0,108.95,108.95,0.0,0.0,0.0
709200.0,1536.95,156.86,1380.09,89.79,0.5
712800.0,4278.53,2170.66,2107.87,49.27,0.5
716400.0,4199.19,2557.8,1641.39,39.09,0.5
720000.0,4316.3,3247.25,1069.05,24.77,0.6
723600.0,1073.46,891.78,181.68,16.92,0.4
