job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_002120,194.2,India,France,4,38.9,137.0,0.17288888888888893,False
j_001440,522.3,Germany,Germany,4,22.0,0.0,1.1183333333333334,False
j_001423,865.5,Germany,France,1,21600.0,12.0,87.75958333333334,False
j_002103,974.2,India,France,4,19.3,137.0,0.08577777777777758,False
j_001784,2003.3,Korea,US_West,5,8.8,134.0,0.4839999999999975,False
j_001060,2032.3,France,France,4,50.4,0.0,0.2239999999999994,False
j_002450,2213.0,Japan,US_West,5,7.9,109.0,0.434500000000005,False
j_000023,2280.8,US_West,US_West,1,6657.9,0.0,359.80369444444443,False
j_002146,2330.4,India,France,1,7194.8,137.0,29.685111111111116,False
j_002138,2503.2,India,France,2,2640.1,137.0,11.30508333333333,False
j_002481,3186.2,Japan,US_West,1,2575.0,109.0,139.82399999999998,False
j_001781,3208.6,Korea,US_West,4,20.1,134.0,1.105499999999995,False
j_000729,3265.1,US_East,US_East,1,5629.8,0.0,377.0879722222222,False
j_002126,3309.6,India,France,4,15.4,137.0,0.06844444444444485,False
j_002104,3525.8,India,France,3,45.3,137.0,0.20133333333333414,False
j_001088,3932.1,France,France,2,677.8,0.0,2.824166666666666,False
j_001425,4126.9,Germany,Germany,2,5211.6,0.0,242.72397222222224,False
j_002472,4628.2,Japan,US_West,4,61.0,109.0,3.3041666666666667,False
j_001075,4909.4,France,France,1,878.1,0.0,3.6587500000000017,False
j_002470,5023.4,Japan,US_West,1,21600.0,109.0,1196.3492777777778,False
j_000001,5158.0,US_West,US_West,1,5319.0,0.0,284.4713888888889,False
j_001449,5165.4,Germany,Germany,5,10.6,0.0,0.5093888888889063,False
j_001416,5727.4,Germany,Germany,1,4264.6,0.0,194.8555,False
j_001758,5810.4,Korea,US_West,1,7192.4,134.0,384.3645555555555,False
j_000719,6075.0,US_East,Germany,4,7.9,95.0,0.37963888888887143,False
j_002130,6219.4,India,Germany,1,1885.6,142.0,87.34550000000002,False
j_000354,6490.6,US_Central,France,3,78.9,113.0,0.3287499999999985,False
j_001420,6557.9,Germany,Germany,2,4416.9,0.0,198.57680555555552,False
j_000703,6784.4,US_East,Germany,5,4.4,95.0,0.21144444444442695,False
j_000742,6980.8,US_East,Germany,4,28.3,95.0,1.359972222222231,False
