job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_002120,194.2,India,France,4,38.9,137.0,0.17288888888888893,False
j_001440,522.3,Germany,France,4,22.0,12.0,0.09777777777777778,False
j_001423,865.5,Germany,France,1,21600.0,12.0,87.75958333333334,False
j_002103,974.2,India,France,4,19.3,137.0,0.08577777777777758,False
j_001784,2003.3,Korea,Korea,5,8.8,0.0,0.8286666666666623,False
j_001060,2032.3,France,France,4,50.4,0.0,0.2239999999999994,False
j_002450,2213.0,Japan,Japan,5,7.9,0.0,0.5551944444444509,False
j_000023,2280.8,US_West,US_West,1,6657.9,0.0,359.80369444444443,False
j_002146,2330.4,India,France,1,7194.8,137.0,29.685111111111116,False
j_002138,2503.2,India,France,2,2640.1,137.0,11.30508333333333,False
j_002481,3186.2,Japan,Japan,1,2575.0,0.0,156.95194444444445,False
j_001781,3208.6,Korea,Korea,4,20.1,0.0,1.8927499999999913,False
j_000729,3265.1,US_East,US_East,1,5629.8,0.0,377.0879722222222,False
j_002126,3309.6,India,France,4,15.4,137.0,0.06844444444444485,False
j_002104,3525.8,India,India,3,45.3,0.0,8.3301666666667,False
j_001088,3932.1,France,France,2,677.8,0.0,2.824166666666666,False
j_001425,4126.9,Germany,France,2,5211.6,12.0,21.12097222222222,False
j_002472,4628.2,Japan,US_West,4,61.0,109.0,3.3041666666666667,False
j_001075,4909.4,France,France,1,878.1,0.0,3.6587500000000017,False
j_002470,5023.4,Japan,US_West,1,21600.0,109.0,1196.3492777777778,False
j_000001,5158.0,US_West,US_West,1,5319.0,0.0,284.4713888888889,False
j_001449,5165.4,Germany,Germany,5,10.6,0.0,0.5093888888889063,False
j_001416,5727.4,Germany,Germany,1,4264.6,0.0,194.8555,False
j_001758,5810.4,Korea,Korea,1,7192.4,0.0,623.1418888888888,False
j_000719,6075.0,US_East,US_East,4,7.9,0.0,0.5332499999999755,False
j_002130,6219.4,India,France,1,1885.6,137.0,7.60527777777778,False
j_000354,6490.6,US_Central,US_East,3,78.9,38.0,5.325749999999975,False
j_001420,6557.9,Germany,Germany,2,4416.9,0.0,198.57680555555552,False
j_000703,6784.4,US_East,US_East,5,4.4,0.0,0.29699999999997545,False
j_000742,6980.8,US_East,US_East,4,28.3,0.0,1.9102500000000122,False
j_001771,7029.7,Korea,Korea,2,4478.8,0.0,386.65169444444444,False
j_000365,7149.4,US_Central,US_East,1,913.9,38.0,60.00961111111108,False
j_001050,7161.0,France,France,5,7.2,0.0,0.029999999999999243,False
j_001435,7395.8,Germany,France,2,1710.7,12.0,6.652722222222221,False
j_001052,7565.2,France,France,1,4078.9,0.0,15.86238888888889,False
j_002493,7602.8,Japan,Japan,4,15.7,0.0,0.8983888888888785,False
j_001750,8329.6,Korea,Korea,4,23.1,0.0,1.9955833333333648,False
j_002113,8334.8,India,India,5,5.4,0.0,0.9164999999999383,False
j_001069,8912.8,France,France,1,4603.7,0.0,17.90327777777778,False
j_001406,9347.5,Germany,France,1,21600.0,12.0,83.80694444444444,False
j_002482,9956.2,Japan,Japan,2,5294.0,0.0,319.01944444444445,False
j_002486,10171.5,Japan,Japan,3,507.6,0.0,29.04600000000002,False
j_000720,10754.5,US_East,US_East,1,9649.6,0.0,653.9307499999999,False
j_000731,11259.9,US_East,France,2,1419.9,90.0,5.521833333333332,False
j_002497,11444.1,Japan,US_West,4,8.7,109.0,0.46641666666670567,False
j_002479,12205.9,Japan,US_West,1,6089.4,109.0,333.44383333333326,False
j_001751,12660.8,Korea,France,5,3.8,238.0,0.014777777777774947,False
j_001790,12671.1,Korea,Korea,3,116.0,0.0,9.892222222222221,False
j_001097,12962.0,France,France,4,14.6,0.0,0.05677777777777919,False
j_001779,13130.0,Korea,Korea,5,2.5,0.0,0.21319444444444444,False
j_001789,13628.0,Korea,Korea,4,14.7,0.0,1.2535833333333954,False
j_001090,13951.9,France,France,2,1426.1,0.0,5.545944444444446,False
j_002477,14262.9,Japan,US_West,5,5.4,109.0,0.2894999999999805,False
j_002467,14381.2,Japan,US_West,5,3.0,109.0,0.16083333333333333,False
j_001761,14487.5,Korea,Korea,5,2.0,0.0,0.165,False
j_001753,14499.5,Korea,Korea,5,10.3,0.0,0.8497499999999399,False
j_002471,14659.8,Japan,US_West,3,157.7,109.0,8.717305555555596,False
j_001056,14989.0,France,France,1,7234.0,0.0,29.30527777777778,False
j_001764,14996.6,Korea,Korea,4,70.2,0.0,5.79150000000006,False
j_002478,15055.3,Japan,US_West,5,6.2,109.0,0.34272222222226245,False
j_002487,15378.1,Japan,US_West,1,952.4,109.0,52.64655555555553,False
j_002463,15787.4,Japan,US_West,5,3.5,109.0,0.1934722222222222,False
j_001780,15840.2,Korea,Korea,4,22.5,0.0,1.85625,False
j_000705,16240.1,US_East,US_East,4,44.0,0.0,3.006666666666667,False
j_001086,16297.4,France,France,1,1104.8,0.0,4.2964444444444485,False
j_001778,16605.0,Korea,Korea,4,49.0,0.0,4.0425,False
j_000701,16852.6,US_East,US_East,4,31.9,0.0,2.1798333333334328,False
j_002140,17027.9,India,France,5,12.6,137.0,0.04899999999999434,False
j_000375,17086.2,US_Central,France,2,6417.6,113.0,26.486166666666673,False
j_002484,17117.4,Japan,US_West,3,370.2,109.0,20.463833333333376,False
j_000364,17165.3,US_Central,US_East,4,41.9,38.0,2.863166666666766,False
j_001788,17226.9,Korea,Korea,5,2.2,0.0,0.18150000000006003,False
j_001427,17712.0,Germany,Germany,5,8.4,0.0,0.36866666666673054,False
j_002489,17716.2,Japan,Japan,3,124.3,0.0,8.148555555555507,False
j_001055,17779.3,France,France,4,62.8,0.0,0.2442222222222194,False
j_000012,17825.0,US_West,US_West,2,1331.6,0.0,75.53555555555548,False
j_000713,18190.2,US_East,Germany,2,7634.8,95.0,331.46755555555546,False
j_000740,18360.9,US_East,Germany,1,8951.2,95.0,385.4777222222223,False
j_000706,18443.3,US_East,Germany,1,14218.6,95.0,600.6059166666666,False
j_001757,18582.6,Korea,Korea,4,23.9,0.0,2.018222222222345,False
j_001777,18936.0,Korea,US_West,5,4.2,134.0,0.2391666666667081,False
j_001766,19095.7,Korea,US_West,5,5.4,134.0,0.3075000000000829,False
j_001785,19379.4,Korea,France,4,23.0,238.0,0.09583333333333334,False
j_000393,19517.3,US_Central,France,4,8.7,113.0,0.03625000000000303,False
j_002124,19615.3,India,France,5,5.8,137.0,0.024166666666663634,False
j_002490,19794.4,Japan,US_West,5,4.1,109.0,0.23347222222213937,False
j_001424,19977.0,Germany,Germany,4,40.0,0.0,1.7666666666666666,False
j_000381,20341.7,US_Central,France,1,1940.9,113.0,8.08708333333334,False
j_000019,20371.2,US_West,US_West,2,547.4,0.0,31.17138888888897,False
j_001754,20586.5,Korea,Korea,4,21.5,0.0,1.8155555555555556,False
j_001447,20755.1,Germany,Germany,4,45.8,0.0,2.0228333333333013,False
j_002133,20990.7,India,Germany,4,87.8,142.0,3.8778333333333013,False
j_002128,21022.8,India,Germany,5,5.6,142.0,0.24733333333326907,False
j_002121,21085.7,India,Germany,4,10.9,142.0,0.48141666666673094,False
j_002483,21403.0,Japan,US_West,5,7.0,109.0,0.39861111111111114,False
j_002485,21629.5,Japan,Japan,1,10733.3,0.0,1053.4739166666666,False
j_001429,21673.2,Germany,France,4,37.8,12.0,0.15749999999999698,False
j_000355,21995.1,US_Central,US_Central,2,695.1,0.0,50.00858333333323,False
j_000386,22146.7,US_Central,US_Central,2,4529.4,0.0,328.73536111111093,False
j_001791,22176.5,Korea,Korea,4,12.6,0.0,1.1059999999998722,False
j_001408,22250.1,Germany,France,3,105.9,12.0,0.4412500000000061,False
j_002131,22965.9,India,India,5,5.4,0.0,0.7575000000002041,False
j_001773,23213.3,Korea,Korea,5,4.5,0.0,0.395,False
j_002469,23283.4,Japan,Japan,4,38.4,0.0,3.4240000000001296,False
j_002111,23470.0,India,India,5,2.3,0.0,0.32263888888878683,False
j_000399,23522.6,US_Central,US_Central,4,25.1,0.0,1.8058055555554509,False
j_000390,23538.3,US_Central,US_Central,5,2.5,0.0,0.1798611111111111,False
j_002494,23566.1,Japan,Japan,5,4.4,0.0,0.3923333333334631,False
j_001782,23898.7,Korea,Korea,1,607.6,0.0,53.33377777777765,False
j_000032,24345.2,US_West,US_West,5,2.8,0.0,0.16255555555551332,False
j_001774,24507.4,Korea,Korea,1,4260.4,0.0,394.7806111111113,False
j_001421,24818.1,Germany,France,1,12150.5,12.0,40.28180555555556,False
j_002142,25353.3,India,France,4,13.0,137.0,0.04694444444444444,False
j_000736,25360.8,US_East,France,1,7757.0,90.0,26.61261111111112,False
j_001085,25716.3,France,France,3,92.8,0.0,0.3351111111111085,False
j_000725,25957.5,US_East,France,1,11155.0,90.0,36.35486111111111,False
j_002465,26194.3,Japan,Korea,4,15.7,30.0,1.4696944444445126,False
j_000394,26484.0,US_Central,US_Central,3,68.8,0.0,5.083555555555502,False
j_000376,26542.5,US_Central,US_Central,1,9945.0,0.0,778.2416666666667,False
j_000715,26685.1,US_East,US_East,5,4.4,0.0,0.2957777777778756,False
j_000046,26785.0,US_West,US_West,1,4169.3,0.0,227.80511111111107,False
j_002102,27008.4,India,France,3,407.2,137.0,1.470444444444447,False
j_002473,28146.5,Japan,Korea,5,2.9,30.0,0.27147222222235845,False
j_001418,28149.0,Germany,France,2,4836.2,12.0,16.138944444444437,False
j_000395,28336.3,US_Central,US_Central,5,4.2,0.0,0.3103333333333871,False
j_000363,28371.2,US_Central,US_Central,1,8041.4,0.0,636.7545555555554,False
j_002474,28590.0,Japan,Korea,4,110.0,30.0,10.297222222222222,False
j_001087,28907.0,France,France,3,180.7,0.0,0.6023333333333357,False
j_001431,28909.6,Germany,Germany,1,4566.1,0.0,184.35744444444438,False
j_000011,29100.1,US_West,US_West,1,4215.5,0.0,218.8711111111111,False
j_001762,29606.7,Korea,US_West,4,38.8,134.0,2.0262222222221844,False
j_001756,29735.5,Korea,US_West,4,80.1,134.0,4.182999999999924,False
j_002127,29976.2,India,Germany,3,338.7,142.0,13.830250000000031,False
j_001787,30195.2,Korea,US_West,4,8.1,134.0,0.422999999999924,False
j_000746,30280.9,US_East,Germany,2,3284.3,95.0,131.84325000000013,False
j_000357,30778.5,US_Central,France,5,5.2,113.0,0.017333333333335758,False
j_000396,31374.6,US_Central,France,2,1662.0,113.0,5.363166666666667,False
j_001093,31465.4,France,Germany,5,9.2,12.0,0.3756666666666964,False
j_002114,31573.9,India,Germany,4,31.0,142.0,1.2658333333333334,False
j_000043,31575.4,US_West,US_West,5,4.1,0.0,0.21411111111103512,False
j_001099,31718.0,France,Germany,3,160.9,12.0,6.570083333333392,False
j_000020,31915.8,US_West,US_West,1,17386.7,0.0,871.7158611111112,False
j_000352,32189.2,US_Central,Germany,1,3468.9,125.0,135.31155555555546,False
j_001063,32456.1,France,Germany,4,56.7,12.0,2.2050000000000285,False
j_000712,32476.8,US_East,US_East,4,38.4,0.0,2.570666666666764,False
j_002132,32644.7,India,Germany,3,158.8,142.0,6.175555555555527,False
j_000716,32951.4,US_East,US_East,1,5980.1,0.0,401.9630833333332,False
j_001426,33347.0,Germany,Germany,3,235.6,0.0,9.162222222222166,False
j_001058,33362.5,France,France,2,471.9,0.0,1.4419166666666712,False
j_002496,33778.6,Japan,US_West,5,3.3,109.0,0.16775000000014795,False
j_000021,33781.3,US_West,US_West,1,2296.5,0.0,116.65230555555556,False
j_002459,33829.2,Japan,US_West,5,1.7,109.0,0.08641666666651872,False
j_001795,34077.6,Korea,US_East,2,569.9,193.0,38.15163888888898,False
j_000040,34234.8,US_West,US_West,1,7317.1,0.0,366.3259999999999,False
j_000017,34353.1,US_West,US_West,5,3.8,0.0,0.19316666666681462,False
j_002117,34824.9,India,US_East,5,5.6,204.0,0.37488888888879146,False
j_001436,34874.9,Germany,Germany,3,117.0,0.0,4.55,False
j_000027,35235.5,US_West,US_West,5,6.0,0.0,0.305,False
j_001054,35248.3,France,France,5,4.5,0.0,0.01375,False
j_000700,35727.3,US_East,US_East,1,17556.7,0.0,1173.9201944444442,False
j_002147,35978.5,India,US_East,4,23.1,204.0,1.5473055555554573,False
j_001083,35979.3,France,France,3,243.8,0.0,0.6829722222222295,False
j_001783,36001.5,Korea,Korea,1,1851.2,0.0,188.71955555555527,False
j_001061,36511.4,France,France,4,45.4,0.0,0.12611111111111514,False
j_000378,36682.2,US_Central,France,1,21600.0,113.0,57.1895,False
j_001448,37016.3,Germany,Germany,5,3.6,0.0,0.12999999999994746,False
j_002106,37329.0,India,Germany,5,4.9,142.0,0.176944444444497,False
j_001089,37421.7,France,France,3,377.9,0.0,1.0497222222222262,False
j_001400,37764.1,Germany,Germany,1,18740.1,0.0,694.6380555555554,False
j_000368,38093.7,US_Central,France,1,21600.0,113.0,57.581583333333334,False
j_001062,38114.6,France,France,5,3.8,0.0,0.01055555555556364,False
j_000009,38361.8,US_West,US_West,1,11830.5,0.0,590.23875,False
j_001437,38628.1,Germany,Germany,4,23.5,0.0,0.8486111111111111,False
