policy,alpha,total_carbon_kg,avg_latency_ms,dropped
none,0.25,624.22,1.41,0
none,0.3,610.71,2.55,0
none,0.35,600.09,3.54,0
none,0.4,435.99,20.01,0
none,0.45,415.79,22.59,0
none,0.5,393.51,25.91,0
none,0.51,383.42,27.35,0
none,0.52,379.38,28.66,0
none,0.53,373.57,30.01,0
none,0.54,362.31,31.15,0
none,0.55,354.25,32.25,0
none,0.56,351.23,33.87,0
none,0.57,345.62,35.27,0
none,0.58,343.51,36.86,0
none,0.59,334.9,38.97,0
none,0.6,329.14,40.32,0
none,0.65,302.15,48.8,0
none,0.7,281.24,57.93,0
none,0.75,265.71,65.92,0
d2500,0.25,622.51,1.41,0
d2500,0.3,609.0,2.55,0
d2500,0.35,598.38,3.55,0
d2500,0.4,582.3,4.6,0
d2500,0.45,574.71,5.9,0
d2500,0.5,568.55,6.8,0
d2500,0.51,566.79,7.04,0
d2500,0.52,565.15,7.3,0
d2500,0.53,564.73,7.44,0
d2500,0.54,564.09,7.58,0
d2500,0.55,562.8,7.76,0
d2500,0.56,562.29,7.93,0
d2500,0.57,561.74,8.1,0
d2500,0.58,561.54,8.17,0
d2500,0.59,560.92,8.32,0
d2500,0.6,560.24,8.44,0
d2500,0.65,558.82,8.73,0
d2500,0.7,558.28,9.0,0
d2500,0.75,557.48,9.29,0
d1200,0.25,622.58,1.34,3
d1200,0.3,622.14,1.42,3
d1200,0.35,620.5,1.53,3
d1200,0.36,617.88,1.67,3
d1200,0.37,616.42,1.7,3
d1200,0.38,614.55,1.8,3
d1200,0.39,613.63,1.85,3
d1200,0.4,611.7,1.91,3
d1200,0.41,611.23,2.03,3
d1200,0.42,610.95,2.13,3
d1200,0.43,610.55,2.21,3
d1200,0.44,610.07,2.36,3
d1200,0.45,610.05,2.41,3
d1200,0.5,608.03,2.9,3
d1200,0.55,605.38,3.46,3
d1200,0.6,603.48,3.88,3
d1200,0.65,603.23,4.1,3
d1200,0.7,602.88,4.3,3
d1200,0.75,602.24,4.55,3
