time_s,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,128.10000000000002,0,0,0,3,0,0,0,0
900.0,84.2,0,0,0,2,0,0,0,0
1800.0,1173.3,1,0,0,4,0,1,0,1
2700.0,1264.3000000000002,1,0,0,6,0,1,0,1
3600.0,917.2,1,0,0,6,0,0,0,1
4500.0,2072.6,2,0,0,8,0,0,0,3
5400.0,2031.0,2,0,0,8,0,1,0,2
6300.0,3220.7,4,0,2,8,0,2,0,1
7200.0,2946.4,3,0,0,8,1,2,0,2
8100.0,3245.1000000000004,2,0,0,8,3,3,0,1
9000.0,2284.7,1,0,0,7,2,2,0,1
9900.0,2894.8999999999996,1,0,0,6,1,2,0,3
10800.0,2588.2,0,0,0,6,1,2,0,3
11700.0,2098.9,0,0,0,4,1,1,0,3
12600.0,3160.6000000000004,0,0,0,5,1,4,0,3
13500.0,2806.7000000000003,0,0,0,4,1,1,0,5
14400.0,3323.8,0,0,0,5,0,3,0,5
15300.0,2238.6,0,0,0,5,0,1,0,4
16200.0,2313.1,0,0,1,8,0,1,0,3
17100.0,3090.5,2,0,0,8,0,1,0,4
18000.0,1943.7000000000003,1,0,0,8,0,1,0,2
18900.0,3137.2000000000003,2,0,0,8,1,4,0,1
19800.0,2018.6,2,0,0,8,1,1,0,1
20700.0,2561.3,2,0,0,8,3,0,0,2
21600.0,2764.7,3,0,0,8,1,1,0,2
22500.0,2567.6000000000004,2,0,0,6,0,1,0,3
23400.0,2450.4,1,0,0,8,0,1,0,3
24300.0,2461.0,2,0,0,5,0,2,0,2
25200.0,2374.8,1,0,2,7,0,1,0,2
26100.0,3729.3999999999996,4,0,3,4,0,1,0,3
27000.0,2125.2,2,0,2,5,0,1,0,1
27900.0,3124.2000000000003,2,0,2,6,0,1,0,3
28800.0,2535.6,3,0,2,7,0,1,0,1
29700.0,3023.5,3,0,2,8,0,2,0,1
30600.0,2647.3,5,0,2,8,0,0,0,1
31500.0,2879.8999999999996,6,0,2,8,0,0,0,1
32400.0,2731.0,5,0,4,8,0,0,0,0
33300.0,3385.1,5,0,2,6,0,3,0,0
34200.0,2721.1,6,0,2,4,0,1,0,0
35100.0,2380.0,6,0,2,6,0,0,0,0
36000.0,2332.5,4,0,2,7,0,1,0,0
36900.0,1845.0,2,0,2,7,0,1,0,0
37800.0,1756.6000000000001,3,0,1,6,0,1,0,0
38700.0,1731.7,5,0,1,7,0,0,0,0
39600.0,2090.9,5,0,0,8,1,0,0,1
40500.0,2335.8,7,0,1,8,1,0,0,0
41400.0,2495.9000000000005,8,0,1,8,1,0,0,0
42300.0,2411.6,5,0,2,8,3,0,0,0
43200.0,2228.0,5,0,2,8,1,0,0,0
44100.0,3180.3999999999996,7,0,1,6,1,2,0,0
45000.0,2737.2,7,0,1,6,1,1,0,0
45900.0,2435.4,6,0,1,7,1,1,0,0
46800.0,2394.9,6,0,1,7,1,1,0,0
47700.0,2864.7,6,0,1,8,4,0,0,1
48600.0,2981.0,7,0,0,7,2,1,0,1
49500.0,2436.9,5,0,0,7,1,0,0,2
50400.0,2816.6000000000004,5,0,0,8,0,0,0,3
51300.0,4340.5,6,0,0,8,0,1,0,5
52200.0,4104.6,4,0,1,8,3,0,0,5
53100.0,3718.8999999999996,6,0,1,8,3,0,0,3
54000.0,3177.4,5,0,1,8,1,0,0,3
54900.0,3812.9,5,0,1,8,2,0,0,4
55800.0,4103.3,4,0,0,6,2,1,0,5
56700.0,5510.9,2,0,3,6,2,1,0,7
57600.0,5010.099999999999,1,0,1,5,2,2,0,7
58500.0,4738.1,2,0,1,5,2,1,0,7
59400.0,4673.7,4,0,1,5,2,2,0,5
60300.0,5883.700000000001,2,0,2,3,2,4,0,6
61200.0,7291.2,6,0,3,4,2,4,0,7
62100.0,5932.8,7,0,2,5,2,3,0,5
63000.0,4810.2,8,0,1,3,2,2,0,4
63900.0,3683.6000000000004,8,0,2,4,2,2,0,1
64800.0,3011.1,5,0,1,8,2,2,0,1
65700.0,3211.3,6,0,2,5,2,2,0,1
66600.0,2582.9,3,0,2,6,1,3,0,0
67500.0,3203.7000000000003,5,0,4,6,0,3,0,0
68400.0,3012.6,6,0,3,6,0,3,0,0
69300.0,3240.5,6,0,3,4,0,4,0,0
70200.0,3578.2,7,0,2,5,0,5,0,0
71100.0,5099.6,7,0,3,5,0,8,0,0
72000.0,4837.2,4,0,5,5,0,7,0,0
72900.0,4211.6,4,0,4,6,0,6,0,0
73800.0,4495.0,6,0,5,8,0,5,0,0
74700.0,3324.5,4,0,2,6,0,5,0,0
75600.0,4439.5,1,0,3,8,1,7,0,0
76500.0,3721.5,2,0,3,7,1,5,0,0
77400.0,3702.2999999999997,2,0,3,6,1,5,0,0
78300.0,3352.1000000000004,2,0,2,6,1,5,0,0
79200.0,3096.1,6,0,1,8,1,4,0,0
80100.0,2546.8999999999996,5,0,1,6,1,3,0,0
81000.0,2852.8999999999996,4,0,1,8,1,4,0,0
81900.0,2606.8,4,0,1,7,0,4,0,0
82800.0,2647.0,4,0,1,8,0,4,0,0
83700.0,2700.0,4,0,1,8,0,4,0,0
84600.0,2405.7,2,0,1,6,0,4,0,0
85500.0,2360.2,2,0,1,6,0,4,0,0
86400.0,3715.2,4,0,1,8,3,5,0,0
87300.0,3347.3,4,0,1,7,3,4,0,0
88200.0,3023.0,3,0,1,7,2,4,0,0
89100.0,2959.4,5,0,1,6,2,3,0,0
90000.0,2744.4,5,0,1,8,2,2,0,0
90900.0,2227.8,3,0,1,8,2,0,0,1
91800.0,2530.0,4,0,0,8,4,1,0,0
92700.0,3910.6000000000004,3,0,2,8,4,2,0,1
93600.0,4647.799999999999,3,0,1,8,7,3,0,1
94500.0,4241.4,3,0,1,7,4,2,0,3
95400.0,4540.299999999999,3,0,2,8,4,1,0,4
96300.0,5296.5,3,0,0,8,7,2,0,5
97200.0,3891.0999999999995,3,0,0,8,4,2,0,3
98100.0,3128.0,1,0,0,5,3,1,0,4
99000.0,2406.7999999999997,0,0,0,5,3,2,0,2
99900.0,3720.9,0,0,0,8,3,4,0,3
100800.0,3122.9,0,0,1,7,3,3,0,2
101700.0,4038.3,0,0,1,7,3,3,0,4
102600.0,2807.3999999999996,0,0,1,8,3,3,0,1
103500.0,2981.0,1,0,2,8,3,1,0,2
104400.0,3241.9,5,0,1,8,2,1,0,1
105300.0,2461.5,2,0,2,8,1,1,0,1
106200.0,3711.7999999999997,3,0,6,8,1,1,0,1
