time_s,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,785.1999999999999,0,0,0,2,0,0,1,0
900.0,748.4,0,0,0,1,0,0,1,0
1800.0,2514.9,1,0,0,2,0,1,2,1
2700.0,4242.9,1,0,1,1,0,1,4,1
3600.0,2573.6,1,0,1,3,0,0,2,1
4500.0,3737.8999999999996,2,0,1,5,0,0,2,3
5400.0,3976.4,2,0,2,4,0,1,2,2
6300.0,5215.7,2,2,3,5,0,2,2,1
7200.0,4453.9,2,1,1,6,0,2,2,2
8100.0,4840.5,2,0,1,7,0,3,3,1
9000.0,2497.3999999999996,1,0,0,8,0,2,1,1
9900.0,2960.2999999999997,1,0,1,6,0,2,0,3
10800.0,2890.2,0,0,2,5,0,2,0,3
11700.0,2396.9,0,0,2,3,0,1,0,3
12600.0,3499.3,0,0,2,4,0,4,0,3
13500.0,2852.3,0,0,1,4,0,1,0,5
14400.0,3583.7000000000003,0,0,1,4,0,3,0,5
15300.0,2510.6,0,0,1,4,0,1,0,4
16200.0,3817.6000000000004,0,1,3,4,0,1,1,3
17100.0,3942.1000000000004,1,2,1,6,0,1,0,4
18000.0,3368.2,1,1,4,3,0,1,0,2
18900.0,5075.5,1,2,4,3,0,4,1,1
19800.0,3296.7,1,2,4,4,0,1,0,1
20700.0,4872.9,1,2,3,4,0,0,3,2
21600.0,4083.9,0,4,3,5,0,1,0,2
22500.0,4493.200000000001,0,3,3,1,0,1,1,3
23400.0,4953.3,0,4,3,1,0,1,1,3
24300.0,3272.0,1,1,3,2,0,2,0,2
25200.0,3777.1,0,1,5,3,0,1,1,2
26100.0,4686.0,1,3,5,2,0,1,0,3
27000.0,3339.2,1,1,4,2,0,1,1,1
27900.0,4275.1,1,3,3,3,0,1,0,3
28800.0,3332.2,2,2,3,5,0,1,0,1
29700.0,4637.3,2,2,4,4,0,2,1,1
30600.0,3991.7,2,4,4,5,0,0,0,1
31500.0,4995.1,3,4,4,4,0,0,1,1
32400.0,4745.0,2,4,6,4,0,0,1,0
33300.0,4268.799999999999,3,3,3,4,0,3,0,0
34200.0,3885.7,4,3,2,2,0,1,1,0
35100.0,3870.8999999999996,4,3,3,3,0,0,1,0
36000.0,4051.0999999999995,3,3,3,3,0,1,1,0
36900.0,3097.2000000000003,2,1,3,4,0,1,1,0
37800.0,2802.7999999999997,3,2,2,3,0,1,0,0
38700.0,3339.2,5,2,2,3,0,0,1,0
39600.0,3786.2999999999997,4,3,1,5,0,0,1,1
40500.0,4123.9,6,3,2,5,0,0,1,0
41400.0,4908.1,7,3,2,4,0,0,2,0
42300.0,3951.0000000000005,4,3,3,7,0,0,1,0
43200.0,3933.4000000000005,4,3,3,5,0,0,1,0
44100.0,4846.700000000001,6,3,2,3,0,2,1,0
45000.0,4415.6,6,3,2,3,0,1,1,0
45900.0,4462.8,5,3,3,3,0,1,1,0
46800.0,5200.6,5,3,3,2,0,1,2,0
47700.0,6087.299999999999,5,3,3,5,0,0,3,1
48600.0,6430.1,6,3,2,2,0,1,3,1
49500.0,4581.0,4,3,2,3,0,0,1,2
50400.0,6154.5,3,5,1,2,0,0,2,3
51300.0,7872.0,3,6,1,2,0,1,2,5
52200.0,7756.400000000001,2,5,2,4,0,0,3,5
53100.0,7498.4,3,6,2,4,0,0,3,3
54000.0,6495.900000000001,2,6,1,4,0,0,2,3
54900.0,7051.1,2,6,1,5,0,0,2,4
55800.0,6885.299999999999,2,5,0,3,0,1,2,5
56700.0,7412.4,1,4,3,4,0,1,1,7
57600.0,6213.200000000001,1,2,1,4,0,2,1,7
58500.0,6675.9,1,2,2,3,0,1,2,7
59400.0,5945.0,2,3,1,5,0,2,1,5
60300.0,6474.7,1,1,2,4,0,4,1,6
61200.0,9078.9,3,3,3,4,0,4,2,7
62100.0,7867.6,1,5,2,6,0,3,1,6
63000.0,6202.2,4,4,1,4,0,2,1,4
63900.0,5185.5,5,4,2,4,0,2,1,1
64800.0,5379.9,3,2,2,6,0,2,3,1
65700.0,5624.4,3,3,2,4,0,2,3,1
66600.0,5497.299999999999,1,1,2,3,0,4,4,0
67500.0,6770.9,1,1,4,2,0,6,4,0
68400.0,6089.0,1,2,3,3,0,6,3,0
69300.0,6106.799999999999,2,0,3,1,0,8,3,0
70200.0,7203.5,2,3,2,1,0,7,4,0
71100.0,8893.1,3,1,3,1,0,8,4,3
72000.0,8134.099999999999,2,0,5,1,0,6,4,3
72900.0,7526.9,2,0,4,2,0,5,4,3
73800.0,8710.4,2,2,5,3,0,5,5,2
74700.0,5558.5,3,1,2,3,0,4,3,1
75600.0,7746.2,0,1,3,4,0,6,5,1
76500.0,6659.700000000001,0,2,3,4,0,4,4,1
77400.0,6069.299999999999,0,2,3,4,0,4,3,1
78300.0,5402.1,1,1,2,4,0,4,3,1
79200.0,5957.7,4,1,3,4,0,4,3,1
80100.0,5134.8,2,1,1,4,0,3,3,2
81000.0,5364.8,1,1,3,6,0,4,3,0
