time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.6,1940.0,1,0,1,8,1,2,0,2
3600.0,0.6,3770.0,2,0,6,8,3,2,0,3
7200.0,0.6,3439.0,2,0,3,8,3,3,0,4
10800.0,0.6,3774.0,0,0,1,6,2,6,0,6
14400.0,0.6,5420.0,1,0,4,8,1,7,0,8
18000.0,0.6,4988.0,2,2,4,8,2,5,0,4
21600.0,0.6,4714.0,4,5,3,8,1,4,0,1
25200.0,0.6,4131.0,5,5,4,8,0,1,0,1
28800.0,0.6,4413.0,5,5,2,8,3,3,0,0
32400.0,0.6,5141.0,8,4,5,8,6,1,0,0
36000.0,0.6,3757.0,8,2,2,8,6,1,0,0
39600.0,0.6,3888.0,8,0,4,8,8,1,0,0
43200.0,0.6,3471.0,8,0,3,8,4,2,0,0
46800.0,0.6,4481.0,8,0,3,8,6,4,0,0
50400.0,0.6,5320.0,8,0,3,8,4,7,0,0
54000.0,0.6,5980.0,8,1,4,8,5,7,0,0
57600.0,0.6,5757.0,8,4,1,8,2,8,0,0
61200.0,0.6,8051.0,8,8,6,8,5,8,0,0
64800.0,0.6,4769.0,8,5,5,8,4,2,0,0
68400.0,0.6,6449.0,8,8,4,8,1,7,0,0
72000.0,0.6,5612.0,8,2,5,8,5,6,0,0
75600.0,0.6,3938.0,7,1,2,8,8,3,0,0
79200.0,0.6,4373.0,8,1,1,8,6,3,0,2
82800.0,0.6,2975.0,5,1,0,8,5,3,0,0
86400.0,0.6,4180.0,6,0,0,8,8,5,0,0
90000.0,0.6,4782.0,6,0,2,8,8,4,0,2
93600.0,0.6,8552.0,4,0,8,8,8,7,0,8
97200.0,0.6,6514.0,4,0,6,8,3,5,0,8
100800.0,0.6,5784.0,1,2,5,8,2,5,0,6
104400.0,0.6,6651.0,4,8,6,8,3,5,0,1
108000.0,0.6,4108.0,7,5,4,8,0,2,0,0
111600.0,0.6,4934.0,3,8,5,8,3,2,0,0
115200.0,0.6,3375.0,4,7,3,8,0,1,0,0
118800.0,0.6,3634.0,7,8,1,8,3,0,0,0
122400.0,0.6,2986.0,8,5,1,8,2,0,0,0
126000.0,0.6,3632.0,8,7,2,8,2,0,0,0
129600.0,0.6,3441.0,5,4,2,8,0,3,0,0
