time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,1.0,1663.9,7,0,0,8,0,0,0,0
3600.0,1.0,4094.3999999999996,8,0,0,8,8,0,0,0
7200.0,1.0,4215.700000000001,8,0,0,8,7,0,0,0
10800.0,1.0,3783.8999999999996,5,0,0,8,8,0,0,0
14400.0,1.0,6024.299999999999,8,0,5,8,8,0,0,0
18000.0,1.0,5651.7,8,0,3,8,8,0,0,0
21600.0,1.0,5412.8,8,0,7,8,3,0,0,0
25200.0,1.0,4280.4,7,0,1,8,8,0,0,0
28800.0,1.0,4746.2,8,0,2,8,8,0,0,0
32400.0,1.0,6142.400000000001,8,0,8,8,8,0,0,0
36000.0,1.0,4596.5,8,0,3,8,8,0,0,0
39600.0,1.0,4872.0,8,0,5,8,8,0,0,0
43200.0,1.0,3628.7999999999997,8,0,1,8,8,0,0,0
46800.0,1.0,4259.400000000001,8,0,5,8,8,0,0,0
50400.0,1.0,5137.599999999999,8,0,6,8,8,0,0,0
54000.0,1.0,6228.7,8,0,8,8,8,1,0,0
57600.0,1.0,5131.200000000001,8,0,7,8,8,0,0,0
61200.0,1.0,10050.0,8,8,8,8,8,3,0,0
64800.0,1.0,5325.599999999999,8,0,8,8,8,0,0,0
68400.0,1.0,6582.4,8,4,8,8,8,0,0,0
72000.0,1.0,5699.0,8,2,8,8,8,0,0,0
75600.0,1.0,4454.7,8,0,5,8,8,0,0,0
79200.0,1.0,4391.200000000001,8,0,5,8,8,0,0,0
82800.0,1.0,2868.4,8,0,2,8,4,0,0,0
86400.0,1.0,4072.6,8,0,3,8,8,0,0,0
90000.0,1.0,5599.6,8,0,6,8,8,0,0,0
93600.0,1.0,10898.0,8,3,8,8,8,8,0,0
97200.0,1.0,7395.200000000001,8,1,3,8,8,6,0,0
100800.0,1.0,5753.1,8,1,1,8,8,3,0,0
104400.0,1.0,7604.5,8,1,8,8,8,2,0,0
108000.0,1.0,4632.1,8,1,0,8,8,1,0,0
111600.0,1.0,4888.400000000001,8,1,4,8,8,0,0,0
115200.0,1.0,3322.6,6,1,0,8,8,0,0,0
118800.0,1.0,4085.4,8,0,3,8,8,0,0,0
122400.0,1.0,3005.6,8,0,0,8,8,0,0,0
126000.0,1.0,3971.3999999999996,8,0,3,8,8,0,0,0
129600.0,1.0,2375.5,5,0,1,8,8,0,0,0
133200.0,1.0,5290.4,8,0,8,8,8,0,0,0
136800.0,1.0,3820.3999999999996,8,0,4,8,8,0,0,0
140400.0,1.0,4046.8,8,0,4,8,8,0,0,0
144000.0,1.0,4708.3,8,0,7,8,8,0,0,0
147600.0,1.0,4374.8,8,0,4,8,8,0,0,0
151200.0,1.0,5537.9,8,0,7,8,8,0,0,0
154800.0,1.0,4396.8,8,0,3,8,8,0,0,0
158400.0,1.0,4606.0,8,0,4,8,8,0,0,0
162000.0,1.0,4737.9,8,0,5,8,8,0,0,0
165600.0,1.0,2860.8,7,0,1,8,4,0,0,0
169200.0,1.0,1478.7,3,0,0,8,2,0,0,0
172800.0,1.0,3208.1,8,0,0,8,5,0,0,0
176400.0,1.0,2315.2000000000003,8,0,0,8,1,0,0,0
180000.0,1.0,4682.799999999999,8,0,2,8,8,0,0,0
183600.0,1.0,5658.3,8,0,5,8,8,0,0,0
187200.0,1.0,7824.2,8,0,8,8,8,0,0,2
190800.0,1.0,5963.1,8,0,5,8,8,0,0,0
194400.0,1.0,3713.7,5,0,3,8,7,0,0,0
198000.0,1.0,3926.2,2,0,6,8,8,0,0,0
201600.0,1.0,5399.8,8,0,6,8,8,0,0,0
205200.0,1.0,3001.1000000000004,5,0,1,8,8,0,0,0
208800.0,1.0,3685.2,8,0,1,8,8,0,0,0
212400.0,1.0,4452.8,8,0,4,8,8,0,0,0
216000.0,1.0,3784.6,8,0,2,8,8,0,0,0
219600.0,1.0,2953.3999999999996,6,0,1,8,8,0,0,0
223200.0,1.0,1650.4,1,0,0,8,8,0,0,0
226800.0,1.0,3195.2,6,0,0,8,8,0,0,0
230400.0,1.0,3558.4,8,0,0,8,8,0,0,0
234000.0,1.0,8232.800000000001,8,7,8,8,8,0,0,0
237600.0,1.0,4881.0,8,3,2,8,5,0,0,0
241200.0,1.0,6018.200000000001,8,2,8,8,4,0,0,0
244800.0,1.0,6850.4,8,2,8,8,8,0,0,0
248400.0,1.0,3399.6,8,1,2,8,4,0,0,0
252000.0,1.0,6438.2,8,1,8,8,8,0,0,0
255600.0,1.0,4789.299999999999,8,1,3,8,7,0,0,0
259200.0,1.0,3172.6,8,0,0,8,5,0,0,0
262800.0,1.0,5562.1,8,0,3,8,8,0,0,0
266400.0,1.0,3010.2,5,0,1,8,4,0,0,0
270000.0,1.0,4274.700000000001,4,0,1,8,8,0,0,0
273600.0,1.0,6161.7,1,0,8,8,8,1,0,0
277200.0,1.0,6453.4,8,0,7,8,4,0,0,0
280800.0,1.0,8077.5999999999985,8,0,8,8,3,6,0,0
284400.0,1.0,4865.6,8,0,4,8,2,1,0,0
288000.0,1.0,5106.8,8,0,2,8,8,0,0,0
291600.0,1.0,5465.0,8,0,8,8,3,0,0,0
295200.0,1.0,5023.400000000001,8,0,4,8,6,0,0,0
298800.0,1.0,4305.799999999999,8,0,2,8,6,0,0,0
302400.0,1.0,5198.400000000001,8,0,8,8,3,0,0,0
306000.0,1.0,4769.2,8,0,5,8,4,0,0,0
309600.0,1.0,5892.3,8,0,5,8,8,0,0,0
313200.0,1.0,8138.4,8,8,8,8,4,0,0,0
316800.0,1.0,6726.4,8,8,8,8,1,0,0,0
320400.0,1.0,4565.3,8,2,7,8,1,0,0,0
324000.0,1.0,6574.8,8,8,8,8,1,0,0,0
327600.0,1.0,9485.3,8,8,8,8,1,7,0,0
331200.0,1.0,9844.900000000001,8,8,8,8,1,8,0,0
334800.0,1.0,6467.199999999999,8,6,5,8,1,3,0,0
338400.0,1.0,4575.0,8,7,2,8,1,1,0,0
342000.0,1.0,5852.1,8,4,8,8,1,1,0,0
345600.0,1.0,5431.600000000001,8,3,7,8,1,1,0,0
349200.0,1.0,4712.1,8,1,3,8,1,3,0,0
352800.0,1.0,6124.599999999999,8,1,8,8,1,2,0,0
356400.0,1.0,8839.6,8,4,8,8,0,8,0,0
360000.0,1.0,8425.1,8,3,8,8,0,8,0,0
363600.0,1.0,8486.6,8,3,8,8,0,8,0,0
367200.0,1.0,5582.2,8,1,5,8,0,4,0,0
370800.0,1.0,7507.2,8,0,8,8,4,4,0,0
374400.0,1.0,8274.8,8,0,8,8,2,8,0,0
378000.0,1.0,11563.900000000001,8,8,8,8,6,5,0,0
381600.0,1.0,7715.1,8,3,8,8,4,2,0,0
385200.0,1.0,6995.5,8,1,8,8,7,0,0,0
388800.0,1.0,4967.2,8,7,3,8,0,0,0,0
392400.0,1.0,4639.8,8,1,3,8,4,0,0,0
396000.0,1.0,4666.6,8,0,7,8,1,0,0,0
399600.0,1.0,4214.3,8,0,7,8,0,0,0,0
403200.0,1.0,4359.2,8,0,8,8,0,0,0,0
406800.0,1.0,6547.700000000001,8,0,8,8,0,7,0,0
410400.0,1.0,6868.3,8,1,8,8,0,8,0,0
414000.0,1.0,6319.4,8,1,8,8,0,7,0,0
417600.0,1.0,3903.9,8,1,5,8,0,3,0,0
421200.0,1.0,2532.3,8,1,2,8,0,1,0,0
424800.0,1.0,2055.1,8,0,1,8,0,1,0,0
428400.0,1.0,2969.7,8,0,1,8,0,4,0,0
432000.0,1.0,3840.6,8,0,1,8,0,6,0,0
435600.0,1.0,4484.7,8,0,1,8,0,8,0,0
439200.0,1.0,4202.900000000001,8,0,1,8,0,6,0,0
442800.0,1.0,4396.4,8,0,0,8,0,7,0,0
446400.0,1.0,4578.4,8,0,0,8,0,8,0,0
450000.0,1.0,6808.200000000001,8,0,7,8,0,8,0,0
453600.0,1.0,5996.5,8,0,5,8,0,8,0,0
457200.0,1.0,5269.799999999999,8,0,3,8,0,8,0,0
460800.0,1.0,5679.2,8,0,8,8,0,4,0,0
464400.0,1.0,6087.9,8,0,8,8,0,5,0,0
468000.0,1.0,3880.8,8,0,6,8,0,0,0,0
471600.0,1.0,5254.4,8,0,8,8,0,2,0,0
475200.0,1.0,6272.200000000001,8,0,8,8,5,0,0,0
478800.0,1.0,6443.300000000001,8,0,8,8,3,3,0,0
482400.0,1.0,5061.9,8,0,4,8,0,7,0,0
486000.0,1.0,8454.8,8,4,8,8,0,8,0,0
489600.0,1.0,12386.099999999999,8,8,8,8,0,8,0,5
493200.0,1.0,7305.1,8,4,6,8,0,3,0,3
496800.0,1.0,5920.200000000001,8,2,4,8,0,8,0,0
500400.0,1.0,6119.5,8,1,6,8,0,8,0,0
504000.0,1.0,6329.5,8,1,8,8,0,7,0,0
507600.0,1.0,3831.3,8,1,3,8,0,4,0,0
511200.0,1.0,7292.200000000001,8,1,8,8,0,8,0,0
514800.0,1.0,4149.4,8,0,3,8,0,6,0,0
518400.0,1.0,5234.4,8,0,3,8,0,8,0,0
522000.0,1.0,5856.4,8,0,4,8,0,8,0,0
525600.0,1.0,2938.4,8,0,0,8,0,3,0,0
529200.0,1.0,6900.4,8,0,7,8,0,8,0,0
