time_s,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,785.1999999999999,0,0,0,2,0,0,1,0
900.0,748.4,0,0,0,1,0,0,1,0
1800.0,2459.3999999999996,1,0,0,2,0,2,2,0
2700.0,4219.099999999999,1,0,1,1,0,2,4,0
3600.0,2526.3,1,0,1,3,0,1,2,0
4500.0,3648.5,2,0,1,5,0,3,2,0
5400.0,3947.0000000000005,2,0,2,4,0,3,2,0
6300.0,5201.099999999999,2,2,3,5,0,3,2,0
7200.0,4429.9,2,1,1,6,0,4,2,0
8100.0,4812.200000000001,2,0,1,7,0,4,3,0
9000.0,2448.0,1,0,0,8,0,3,1,0
9900.0,2871.5,1,0,1,6,0,5,0,0
10800.0,2740.8,0,0,2,5,0,5,0,0
11700.0,2233.7,0,0,2,3,0,4,0,0
12600.0,3351.3999999999996,0,0,2,4,0,7,0,0
13500.0,2558.3,0,0,1,4,0,6,0,0
14400.0,3432.7000000000003,0,0,1,4,0,8,0,0
15300.0,2471.0,0,0,1,4,0,5,0,0
16200.0,3742.3,0,1,3,4,0,4,1,0
17100.0,3729.3,1,2,1,6,0,5,0,0
18000.0,3217.2,1,1,4,3,0,3,0,0
18900.0,4995.3,1,2,4,3,0,5,1,0
19800.0,3223.8,1,2,4,4,0,2,0,0
20700.0,4735.7,1,2,3,4,0,2,3,0
21600.0,3952.3,0,4,3,5,0,3,0,0
22500.0,4333.0,0,3,3,1,0,4,1,0
23400.0,4801.8,0,4,3,1,0,4,1,0
24300.0,3189.3999999999996,1,1,3,2,0,4,0,0
25200.0,3690.1,0,1,5,3,0,3,1,0
26100.0,4556.700000000001,1,3,5,2,0,4,0,0
27000.0,3287.0999999999995,1,1,4,2,0,2,1,0
27900.0,4177.299999999999,1,3,3,3,0,4,0,0
28800.0,3298.2999999999997,2,2,3,5,0,2,0,0
29700.0,4591.9,2,2,4,4,0,3,1,0
30600.0,3930.5,2,4,4,5,0,1,0,0
31500.0,4912.900000000001,3,4,4,4,0,1,1,0
32400.0,4745.0,2,4,6,4,0,0,1,0
33300.0,4268.799999999999,3,3,3,4,0,3,0,0
34200.0,3885.7,4,3,2,2,0,1,1,0
35100.0,3870.8999999999996,4,3,3,3,0,0,1,0
36000.0,4051.0999999999995,3,3,3,3,0,1,1,0
36900.0,3097.2000000000003,2,1,3,4,0,1,1,0
37800.0,2802.7999999999997,3,2,2,3,0,1,0,0
38700.0,3339.2,5,2,2,3,0,0,1,0
39600.0,3760.6,4,3,1,5,0,1,1,0
40500.0,4123.9,6,3,2,5,0,0,1,0
41400.0,4908.1,7,3,2,4,0,0,2,0
42300.0,3951.0000000000005,4,3,3,7,0,0,1,0
43200.0,3933.4000000000005,4,3,3,5,0,0,1,0
44100.0,4846.700000000001,6,3,2,3,0,2,1,0
45000.0,4415.6,6,3,2,3,0,1,1,0
45900.0,4462.8,5,3,3,3,0,1,1,0
46800.0,5200.6,5,3,3,2,0,1,2,0
47700.0,6056.299999999999,5,3,3,5,0,1,3,0
48600.0,6403.9,6,3,2,2,0,2,3,0
49500.0,4530.0,4,3,2,3,0,2,1,0
50400.0,6034.200000000001,3,5,1,2,0,3,2,0
51300.0,7816.5,3,6,1,2,0,6,2,0
52200.0,7679.400000000001,2,5,2,4,0,5,3,0
53100.0,7452.5,3,6,2,4,0,3,3,0
54000.0,6421.200000000001,2,6,1,4,0,3,2,0
54900.0,6827.5,2,6,1,5,0,4,2,0
55800.0,6536.799999999999,2,5,0,3,0,6,2,0
56700.0,6991.700000000001,1,4,3,4,0,8,1,0
57600.0,5897.0,1,2,1,4,0,8,1,1
58500.0,6273.400000000001,1,2,2,3,0,8,2,0
59400.0,5733.5,2,3,1,5,0,7,1,0
60300.0,6357.500000000001,1,1,2,4,0,8,1,2
61200.0,8953.7,3,3,3,4,0,8,2,3
62100.0,7642.8,1,5,2,6,0,7,1,2
63000.0,6064.0,4,4,1,4,0,4,1,2
63900.0,5185.5,5,4,2,4,0,2,1,1
64800.0,5379.9,3,2,2,6,0,2,3,1
65700.0,5624.4,3,3,2,4,0,2,3,1
66600.0,5591.699999999999,1,1,2,3,0,3,4,1
67500.0,6881.0,1,1,4,2,0,5,4,1
68400.0,6207.6,1,2,3,3,0,5,3,1
69300.0,6202.5,2,0,3,1,0,7,3,1
70200.0,7298.200000000001,2,3,2,1,0,6,4,1
71100.0,8893.1,3,1,3,1,0,8,4,3
72000.0,8053.200000000001,2,0,5,1,0,7,4,2
72900.0,7373.5,2,0,4,2,0,7,4,1
73800.0,8577.8,2,2,5,3,0,7,5,0
74700.0,5482.200000000001,3,1,2,3,0,5,3,0
75600.0,7677.9,0,1,3,4,0,7,5,0
76500.0,6598.200000000001,0,2,3,4,0,5,4,0
77400.0,6007.6,0,2,3,4,0,5,3,0
78300.0,5349.700000000001,1,1,2,4,0,5,3,0
79200.0,5909.7,4,1,3,4,0,5,3,0
80100.0,5053.200000000001,2,1,1,4,0,5,3,0
