time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.4,2419.0,1,0,1,8,0,2,1,2
3600.0,0.75,3734.0,4,0,6,8,3,2,0,1
7200.0,0.2,3875.0,3,0,3,8,2,3,1,3
10800.0,0.75,3226.0,5,0,1,8,1,5,0,1
14400.0,0.7,5100.0,8,0,4,8,1,6,0,2
18000.0,0.75,3887.0,8,0,1,8,8,2,0,0
21600.0,0.2,5276.0,2,4,0,8,3,4,2,3
25200.0,0.5,4245.0,2,5,1,8,3,4,0,1
28800.0,0.7,3515.0,7,2,0,8,8,0,0,1
32400.0,0.8,4708.0,8,2,6,8,8,0,0,0
36000.0,0.65,3772.0,6,2,3,8,7,1,0,0
39600.0,0.55,3961.0,8,1,3,8,8,1,0,0
43200.0,0.7,2872.0,8,0,2,8,7,0,0,0
46800.0,0.7,4001.0,8,0,3,8,8,2,0,0
50400.0,0.6,4879.0,8,1,2,8,6,5,0,0
54000.0,0.75,5134.0,8,2,4,8,8,3,0,0
57600.0,0.7,4293.0,8,6,1,8,7,1,0,0
61200.0,0.45,7130.0,8,8,8,8,8,1,0,2
64800.0,0.5,4628.0,6,6,5,8,6,1,0,0
68400.0,0.65,6279.0,8,8,2,8,3,7,0,0
72000.0,0.6,5612.0,8,2,5,8,5,6,0,0
75600.0,0.45,4941.0,2,3,2,8,8,6,0,0
79200.0,0.9,3895.0,8,1,1,8,8,3,0,0
82800.0,0.4,3261.0,3,2,1,8,5,3,0,0
86400.0,0.45,4669.0,5,0,0,8,8,5,1,0
90000.0,0.25,5472.0,4,2,2,8,7,4,1,2
93600.0,0.55,8552.0,4,0,8,8,8,7,0,8
97200.0,0.7,5734.0,8,0,6,8,3,1,0,8
100800.0,0.5,5495.0,2,2,6,8,2,3,0,6
104400.0,0.8,5554.0,6,8,4,8,8,0,0,1
108000.0,0.8,3756.0,3,8,2,8,5,0,0,0
111600.0,0.65,4400.0,5,8,3,8,5,0,0,0
115200.0,0.6,3247.0,4,7,1,8,2,1,0,0
118800.0,0.5,3772.0,6,8,0,8,4,1,0,0
122400.0,0.9,2880.0,8,4,0,8,4,0,0,0
126000.0,0.75,3440.0,8,6,0,8,5,0,0,0
129600.0,0.65,2672.0,8,6,0,8,0,0,0,0
133200.0,0.55,5472.0,7,4,2,8,8,2,1,0
136800.0,0.55,3935.0,8,5,3,8,3,1,0,0
140400.0,0.7,3500.0,8,8,4,8,0,0,0,0
144000.0,0.75,4361.0,8,8,2,8,2,3,0,0
147600.0,0.5,3787.0,8,7,0,8,1,3,0,1
151200.0,0.4,5689.0,6,4,6,8,0,5,0,2
154800.0,0.5,3250.0,7,8,1,8,1,2,0,0
158400.0,0.45,4292.0,8,5,2,8,1,3,1,0
162000.0,0.6,4292.0,8,8,0,8,2,2,1,0
165600.0,0.45,2602.0,5,3,0,8,3,0,0,1
169200.0,0.4,1745.0,2,1,0,7,1,1,0,1
172800.0,0.45,3267.0,4,0,0,8,4,4,0,1
176400.0,0.7,1920.0,4,0,0,8,3,1,0,1
180000.0,0.45,4864.0,0,1,2,8,5,6,0,4
183600.0,0.2,5840.0,1,1,1,8,5,7,1,5
187200.0,0.5,6438.0,4,0,6,8,5,3,0,8
190800.0,0.15,6854.0,2,0,4,8,3,3,5,4
194400.0,0.5,4519.0,2,1,2,8,2,3,0,5
198000.0,0.9,3659.0,7,1,1,8,5,2,0,0
201600.0,0.15,7797.0,3,1,4,8,2,1,8,3
205200.0,0.5,3397.0,5,2,6,8,1,0,0,0
208800.0,0.85,3463.0,8,2,1,8,6,0,0,0
212400.0,0.6,4208.0,8,2,1,8,8,1,0,0
216000.0,0.65,4375.0,8,1,1,8,4,4,0,0
219600.0,0.7,3718.0,8,3,2,8,0,2,0,0
223200.0,0.55,1969.0,7,0,1,8,0,1,0,0
226800.0,0.5,3116.0,8,3,1,8,0,2,0,0
230400.0,0.5,4218.0,8,5,0,6,0,4,0,1
234000.0,0.55,7823.0,8,8,4,8,2,8,0,1
237600.0,0.4,4478.0,8,4,2,7,0,4,0,1
241200.0,0.8,4899.0,8,8,3,8,0,3,0,0
244800.0,0.4,5994.0,8,8,8,8,0,1,1,0
248400.0,0.85,2693.0,8,6,1,8,0,0,0,0
252000.0,0.9,5416.0,8,8,1,8,8,0,0,0
255600.0,0.4,5709.0,7,1,2,8,3,0,3,3
259200.0,0.5,3564.0,3,0,1,8,3,2,0,4
262800.0,0.35,5111.0,1,0,4,8,6,3,0,5
266400.0,0.5,2601.0,2,0,2,8,2,1,0,3
270000.0,0.15,3638.0,2,0,1,8,1,4,0,5
273600.0,0.35,4905.0,5,0,7,8,1,2,1,2
277200.0,0.6,4561.0,8,0,6,8,2,2,0,1
280800.0,0.55,6555.0,8,0,5,8,5,3,0,4
284400.0,0.6,3646.0,8,0,4,8,1,1,0,1
288000.0,0.4,5693.0,7,0,3,8,0,1,6,1
291600.0,0.7,4813.0,8,0,3,8,5,2,0,1
295200.0,0.4,4917.0,8,1,1,8,4,2,2,0
298800.0,0.6,3952.0,8,0,2,8,3,3,0,0
302400.0,0.75,4526.0,8,0,8,8,2,1,0,0
306000.0,0.8,3908.0,8,0,7,8,2,0,0,0
309600.0,0.7,5222.0,8,2,6,8,4,1,0,0
313200.0,0.55,7720.0,8,3,5,8,4,7,0,1
316800.0,0.7,5377.0,8,8,4,8,0,4,0,1
320400.0,0.55,4421.0,8,7,1,4,0,6,0,0
324000.0,0.95,4814.0,8,8,6,8,0,3,0,0
327600.0,0.6,7280.0,8,8,8,8,0,8,0,0
331200.0,0.6,8172.0,8,8,6,8,0,6,0,5
334800.0,0.1,6348.0,7,4,3,8,0,5,1,3
338400.0,0.4,4920.0,8,2,2,8,0,3,0,4
342000.0,0.6,6170.0,8,2,2,8,4,4,0,2
345600.0,0.6,5432.0,8,1,3,8,4,3,0,1
349200.0,0.6,4641.0,5,0,3,8,4,1,0,3
352800.0,0.55,6390.0,4,0,2,8,7,3,0,4
356400.0,0.6,8256.0,5,0,7,8,3,5,0,8
360000.0,0.1,8836.0,4,2,6,8,2,2,4,7
363600.0,0.6,6856.0,8,8,5,8,0,4,1,1
367200.0,0.6,3988.0,8,8,0,8,0,1,0,1
370800.0,0.4,6911.0,7,8,2,8,0,1,4,2
374400.0,0.4,7031.0,8,8,4,8,0,2,1,3
378000.0,0.5,10390.0,8,8,8,8,3,4,3,1
381600.0,0.6,6677.0,8,6,7,8,1,2,1,0
385200.0,0.1,7467.0,7,4,4,8,5,1,2,1
388800.0,0.6,4666.0,8,1,6,8,1,2,0,0
392400.0,0.6,4052.0,8,3,3,8,1,1,0,0
396000.0,0.7,3736.0,8,6,1,8,1,0,0,0
399600.0,0.5,4444.0,5,4,5,6,0,3,0,0
403200.0,0.5,3837.0,8,2,4,7,0,3,0,0
406800.0,0.65,5125.0,8,8,2,8,0,5,0,0
410400.0,0.95,5175.0,8,8,7,8,0,2,0,0
414000.0,0.4,6248.0,7,7,5,6,0,4,0,3
417600.0,0.45,3199.0,8,6,3,7,0,0,0,1
421200.0,0.4,3208.0,4,8,1,5,0,0,0,2
424800.0,0.55,1781.0,8,1,0,8,0,1,0,0
428400.0,0.55,3094.0,8,0,2,8,0,3,0,0
432000.0,0.55,3986.0,7,0,4,8,0,3,0,1
435600.0,0.4,5967.0,5,0,5,8,3,1,2,1
439200.0,0.65,4172.0,8,0,1,8,2,1,0,3
442800.0,0.1,5311.0,3,0,3,8,0,4,3,2
446400.0,0.55,5530.0,3,0,3,8,0,3,3,4
