time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.0,5983.0,1,0,1,1,2,2,6,2
3600.0,0.0,6208.0,2,2,4,3,5,2,3,3
7200.0,0.0,5780.0,2,1,2,2,6,3,3,4
10800.0,0.0,4145.0,0,0,2,4,3,6,0,6
14400.0,0.0,6511.0,1,2,3,4,3,6,1,9
18000.0,0.0,7571.0,2,3,4,1,4,5,4,4
21600.0,0.0,6834.0,1,6,3,1,5,4,2,4
25200.0,0.0,6583.0,1,5,6,1,3,1,2,5
28800.0,0.0,6171.0,4,5,4,3,4,3,2,1
32400.0,0.0,7392.0,6,4,7,4,5,1,3,2
36000.0,0.0,5891.0,6,4,3,4,6,1,3,0
39600.0,0.0,5676.0,7,4,3,6,6,0,2,1
43200.0,0.0,5324.0,7,3,4,2,6,2,1,0
46800.0,0.0,7653.0,8,3,5,1,5,2,3,2
50400.0,0.0,8331.0,4,8,2,3,3,1,3,6
54000.0,0.0,9037.0,2,7,5,3,4,1,3,8
57600.0,0.0,9108.0,2,4,3,3,3,5,2,9
61200.0,0.0,11120.0,8,8,5,4,3,4,3,8
64800.0,0.0,9636.0,4,4,5,3,3,3,6,4
68400.0,0.0,11282.0,4,6,5,2,1,8,5,5
72000.0,0.0,11021.0,4,2,6,2,3,8,7,2
75600.0,0.0,9121.0,1,3,3,5,3,7,7,0
79200.0,0.0,7436.0,6,1,5,3,4,5,3,2
82800.0,0.0,6465.0,3,2,3,2,4,4,4,0
86400.0,0.0,7504.0,3,2,2,3,7,6,4,0
90000.0,0.0,7436.0,3,3,4,3,8,4,3,2
93600.0,0.0,8559.0,2,0,4,11,10,7,2,7
97200.0,0.0,6200.0,3,0,3,11,3,5,1,8
100800.0,0.0,6242.0,0,2,4,7,4,5,1,6
104400.0,0.0,7922.0,3,5,7,7,4,5,3,1
108000.0,0.0,6522.0,2,2,6,4,3,2,2,5
111600.0,0.0,7209.0,3,6,6,4,3,2,5,0
115200.0,0.0,5472.0,2,4,5,3,4,1,2,2
118800.0,0.0,6217.0,4,8,2,4,3,1,4,1
122400.0,0.0,5517.0,4,4,2,3,5,2,2,2
126000.0,0.0,5458.0,8,3,3,3,6,2,1,1
129600.0,0.0,5533.0,5,4,2,3,1,3,2,2
133200.0,0.0,8434.0,4,5,3,5,5,4,5,1
136800.0,0.0,7533.0,4,5,3,4,2,3,4,3
140400.0,0.0,9740.0,1,3,4,1,2,7,4,6
144000.0,0.0,9673.0,1,5,2,3,2,10,3,5
147600.0,0.0,8854.0,3,3,3,2,2,7,4,4
151200.0,0.0,10495.0,2,3,6,1,2,8,5,4
154800.0,0.0,8072.0,3,4,4,3,1,5,5,2
158400.0,0.0,9514.0,3,4,2,3,0,4,7,5
162000.0,0.0,8339.0,7,0,2,6,0,3,5,6
165600.0,0.0,4875.0,4,2,0,5,3,0,3,3
169200.0,0.0,3578.0,2,1,0,4,1,1,3,1
172800.0,0.0,4653.0,4,0,0,5,5,4,2,1
176400.0,0.0,4455.0,3,1,0,2,3,4,2,2
180000.0,0.0,7027.0,0,1,2,3,6,7,3,4
183600.0,0.0,7202.0,1,1,1,4,7,7,3,5
187200.0,0.0,9450.0,4,0,6,2,5,3,6,8
190800.0,0.0,8424.0,2,0,4,4,4,3,8,4
194400.0,0.0,6567.0,2,1,3,3,2,3,4,5
198000.0,0.0,5872.0,4,2,4,4,3,3,3,1
201600.0,0.0,8496.0,2,2,5,5,4,1,8,3
205200.0,0.0,5758.0,3,3,6,3,2,0,4,1
208800.0,0.0,6744.0,4,7,2,4,1,1,5,1
212400.0,0.0,6726.0,3,5,2,5,7,1,3,2
216000.0,0.0,6789.0,4,4,1,6,2,3,3,3
219600.0,0.0,6099.0,3,4,2,5,1,3,2,3
223200.0,0.0,4186.0,2,0,2,4,3,2,1,3
226800.0,0.0,6538.0,0,3,4,3,1,3,1,7
230400.0,0.0,6148.0,4,5,3,2,1,4,0,5
234000.0,0.0,10513.0,5,8,6,3,3,6,2,6
237600.0,0.0,7891.0,5,4,2,2,1,2,4,6
