job_name,submit_time,duration,region,k,L_max,submit_local_hour,band,alpha,assigned_region
j_002120,194.2,38.9,India,4,22.8,5.55,night,0.6,France
j_001440,522.3,22.0,Germany,4,27.1,1.15,night,0.6,France
j_001423,865.5,21600.0,Germany,1,76268.9,1.24,night,0.6,Germany
j_002103,974.2,19.3,India,4,39.5,5.77,night,0.6,France
j_001784,2003.3,8.8,Korea,5,3.0,9.56,day,0.6,Korea
j_001060,2032.3,50.4,France,4,26.5,1.56,night,0.6,France
j_002450,2213.0,7.9,Japan,5,2.1,9.61,day,0.6,US_West
j_000023,2280.8,6657.9,US_West,1,66730.2,16.63,day,0.6,US_West
j_002146,2330.4,7194.8,India,1,53645.2,6.15,night,0.6,France
j_002138,2503.2,2640.1,India,2,20717.2,6.2,night,0.6,France
j_002481,3186.2,2575.0,Japan,1,72902.1,9.89,day,0.6,US_West
j_001781,3208.6,20.1,Korea,4,44.6,9.89,day,0.6,Korea
j_000729,3265.1,5629.8,US_East,1,77985.7,19.91,day,0.6,US_West
j_002126,3309.6,15.4,India,4,21.2,6.42,night,0.6,France
j_002104,3525.8,45.3,India,3,586.3,6.48,night,0.6,France
j_001088,3932.1,677.8,France,2,15425.6,2.09,night,0.6,France
j_001425,4126.9,5211.6,Germany,2,16792.5,2.15,night,0.6,France
j_002472,4628.2,61.0,Japan,4,21.4,10.29,day,0.6,Japan
j_001075,4909.4,878.1,France,1,66974.1,2.36,night,0.6,France
j_002470,5023.4,21600.0,Japan,1,56630.9,10.4,day,0.6,Japan
j_000001,5158.0,5319.0,US_West,1,59028.7,17.43,day,0.6,US_West
j_001449,5165.4,10.6,Germany,5,2.4,2.43,night,0.6,France
j_001416,5727.4,4264.6,Germany,1,44430.7,2.59,night,0.6,Germany
j_001758,5810.4,7192.4,Korea,1,58494.2,10.61,day,0.6,Korea
j_000719,6075.0,7.9,US_East,4,52.8,20.69,night,0.6,US_East
j_002130,6219.4,1885.6,India,1,46439.8,7.23,night,0.6,France
j_000354,6490.6,78.9,US_Central,3,149.1,19.8,day,0.6,US_West
j_001420,6557.9,4416.9,Germany,2,9393.8,2.82,night,0.6,Germany
j_000703,6784.4,4.4,US_East,5,3.6,20.88,night,0.6,US_East
j_000742,6980.8,28.3,US_East,4,56.9,20.94,night,0.6,US_East
j_001771,7029.7,4478.8,Korea,2,7502.8,10.95,day,0.6,Korea
j_000365,7149.4,913.9,US_Central,1,52704.4,19.99,day,0.6,US_West
j_001050,7161.0,7.2,France,5,1.1,2.99,night,0.6,France
j_001435,7395.8,1710.7,Germany,2,13950.6,3.05,night,0.6,France
j_001052,7565.2,4078.9,France,1,82211.4,3.1,night,0.6,France
j_002493,7602.8,15.7,Japan,4,27.8,11.11,day,0.6,Japan
